Car_Loan_Application_ID,Requested_Amount_In_INR,Age,Applicant_Postal_Code,Car_Fullname,Loan_Term,Applicant_State_Desc,Applicant_City_Desc,Car_Loan_Application_Creation_Date,Car_Type,Cibil_Score,Car_Loan_Disbursed,IRR
1,200000,40.5,400091.0,Chevrolet Spark Lt 1.0 Bs-Iv Obdii,48.0,Maharashtra,Mumbai,2015-04-17 15:08:00,Compact,594.0,No,24.7
2,1900000,41.25,641002.0,Toyota - Fortuner 4 Wd,48.0,Tamilnadu,Coimbatore,2014-04-23 21:06:00,SUV,754.0,Yes,24.7
3,1600000,39.5,641002.0,Toyota - Fortuner 3.0 L,48.0,Tamilnadu,Coimbatore,2014-04-25 18:00:00,SUV,779.0,Yes,16.5
10,234000,34.0,390006.0,Maruti Alto Lxi,36.0,Gujrat,Baroda,2013-02-12 15:08:00,Compact,837.0,Yes,14.14
16,437500,38.0,390016.0,Hyundai - Accent,36.0,Gujrat,Baroda,2013-02-26 13:39:00,Mid-Size,793.0,No,22.5
33,300000,38.0,390012.0,Fiat Linea Pl Emotion,36.0,Gujrat,Baroda,2013-04-10 19:39:00,Mid-Size,593.0,Yes,14.68
34,495000,47.17,390008.0,Hyundai - Verna,36.0,Gujrat,Baroda,2013-04-26 16:25:00,Mid-Size,652.0,No,22.3
35,475000,31.42,390018.0,Ford - Figo 1.2L Titanium P,36.0,Gujrat,Baroda,2013-05-07 12:05:00,Executive,749.0,Yes,14.53
36,199000,39.92,390023.0,Maruti - Zen Estillo Lxi,36.0,Gujrat,Baroda,2013-05-11 15:01:00,Compact,731.0,Yes,14.56
38,450000,30.92,390007.0,Honda - Honda City 1.3 Exi,48.0,Gujrat,Baroda,2013-05-23 13:52:00,Mid-Size,-1.0,Yes,14.68
39,530000,57.58,390001.0,Tata Motors - Fiat Punto Di,36.0,Gujrat,Baroda,2013-06-03 16:04:00,Compact,553.0,Yes,24.4
40,500000,33.0,390011.0,Mahindra - Xylo D2 Diesel Ac,36.0,Gujrat,Baroda,2013-07-05 12:38:00,MUV,752.0,Yes,15.01
41,740000,49.75,390020.0,Hyundai - Hyundai Verna I,36.0,Gujrat,Baroda,2013-07-02 19:06:00,Mid-Size,694.0,Yes,14.5
42,556750,23.08,390020.0,Hyundai - I 20 Sportz,60.0,Gujrat,Baroda,2013-07-15 18:27:00,Mid-Size,781.0,Yes,19.22
44,210000,34.33,390018.0,Hyundai - Accent,36.0,Gujrat,Baroda,2013-07-17 18:26:00,Mid-Size,693.0,Yes,14.67
